sentiment	text	city	Latitude	Longitude	id
5	In Amazon Mechanical Turk, financially, it has helped me. Various types of work, especially surveys, have been beneficial in understanding myself. It has been a really good experience for self-analysis, and it is a very genuine platform in terms of payment.  So really like it very much.	Chennai, IN	13.0836939	80.270186	ADDANUD713B9R
4	So far I like it, it can be confusing at times & it's not easy to find answers but it's been fine so far.	Seattle, US	47.6038321	-122.330062	A1LRY4XGPWNVWQ
3	AMTs inspect, service, maintain, troubleshoot and repair aircraft engines, auxiliary power units, propellers, rotor systems, power train systems, and associated airframe and systems-specific electrical components.	Undefined, US	36.7014631	-118.755997	A32SFBI6TV30J8
5	Amazon Mechanical Turk allows businesses to outsource data entry tasks at a lower cost than hiring full-time employees	Undefined, GB	56.7861112	-4.1140518	AWUZ3LTFGRMR5
4	AMTs inspect, service, maintain, troubleshoot and repair aircraft engines, auxiliary power units, propellers, rotor systems, power train systems, and associated airframe and systems-specific electrical components.	Undefined, US	36.7014631	-118.755997	A2MALULLEZEZT0
1	some year ago mturk  job avalable in very good but currunt 2 years mturk jobs or very bad .also mturk is very good place for earnings but jobs are curruntly very low so add more jobs	Erode, IN	11.3306483	77.7276519	A2RIOB3PTFCQAO
4	Amazon Mechanical Turk offers me the opportunity to engage in flexible work arrangements, allowing me to earn money on my own terms. It provides opportunities for those seeking additional income. Additionally, the variety of tasks available caters to diverse interests and abilities, offering avenues for earning extra money and accessing tasks, albeit with potential issues such as low pay and inconsistency."	Undefined, US	27.7567667	-81.4639835	A2WX4KRX54UOMK
5	"Honest feelings are authentic expressions of one's true emotions, devoid of pretense or fabrication. They stem from the depths of one's being, reflecting sincerity, transparency, and genuine connection with oneself and others."	Undefined, US	39.7837304	-100.445882	A2PZDNXOJ3SF8P
3	Hits are very less and People are using additional extension to catch the hits, it makes us difficult to accept good hits. More criteria and qualification makes me disqualified to work many hits.	Undefined, US	31.2638905	-98.5456116	AT55Y3PNCQCA1
5	I  enjoy the different tasks.  the variety is very interesting.  It keeps me coming back to see what new tasks are available.  I find it fun and interesting work.	Undefined, US	44.4694529	-70.7782375	A20MT7DAGHMX4A
2	It's the only genuine and straightforward online work platform that i know of even though it doesn't pay much on many tasks. I wish it paid more and gave me more tasks but they don't seem to really care about us. But american workers are paid well and about 10 times as much as Indian workers. That is sad.	Kottayam, IN	9.591564	76.5221599	A2FQYXUQ7F8IKK
2	I like Mturk because I am paid to take surveys, and I enjoy taking surveys like some people enjoy playing video games. It is convienent enough to access Mturk for part time work.	City of Auburn, US	42.9320202	-76.5672029	AYT6G75JNE3OH
4	In general, I like AMT, mostly because I've discovered one HIT that usually pays off.  But I HATE it when I get tricked, with a HIT where the time automatically runs out before the 'time allotted.'	Atlanta, US	33.7489924	-84.3902644	A39K4JNYDU0QMJ
3	I do like it. I work on it just to earn a little bit of extra pocket money. Nice to make a few bucks a day without leaving the house. Just wish it had more jobs or higher paying jobs or an easier way to qualify for better jobs.	Hendersonville, US	35.3187279	-82.4609528	A1EJ8KMQXV9DRU
5	what i like about AMT is that it gives me the option to work remotely from home . all i need is a PC with internet connection. second thing i like is atleast some work is available throughout the day, so i can work when ever i feel like. third thing i like is i get payed in US dollars which are equivalent of huge amount of Indian rupees. what i don't like is that whenever after getting a rejection i try to contact requester most of the times they don't reply at all. that is so unprofessional attitude. second thing i hate is that most work is available to US citizens only . i think even indian workers are of same  competency. one honest suggestion of mine is instead of focussing only on micro gigs , AMT should also provide bigger assignment options as well. also, if AMT can also cover transaction fees and annual maintenance fee of payment processors like hyperwallet and payoneer then we can see some real earnings entering our bank accounts and would give workers a lot of mental peace and would truly increase the bonding between AMT and it's workers.	Gurugram District, IN	28.42826235	77.00270014657752	A23THREOGHZVDF
3	I am disappointed that AMT has changed so drastically in the past year in that good paying surveys are very hard to find and the work that is offered offers such small rewards so that the work-reward ratio is skewed is so low as opposed to the recent past.	Milton, US	38.7778049	-75.3101583	AVKMFV9CZ0MLR
1	Recently, I do not like working on this platform because there is not a lot to do but, in general, it has always been not the greatest platform because of its first-come first-served based program when working.	Napoli, IT	40.8358846	14.2487679	A2WQOPD3IYLITQ
5	Really this is the best platform to earn money sometimes work will not come properly during that time i will be felt bad.	Undefined, IN	22.3511148	78.6677428	A1OSPGFZVR6MFZ
5	When we learn to speak our truth, we become courageous, we value ourselves, we shine our light from within, we become worthy, and we feel, share, and connect on	Undefined, US	39.7837304	-100.445882	APM9B2S5N7LXU
5	In short, if you treat Amazon Mechanical Turk like a full-time job, then it's possible to earn a full-time living. In fact, it isn't uncommon for top workers to make over $100 a day. While it won't be the highest-paying work from home job, it's possible to consistently make money online from MTurk	Undefined, US	31.2638905	-98.5456116	A1VNLG8WJS0FB0
3	Although Amazon Turk is a secondary means to make income, there should be more high paying tasks to complete than competing with others for low paying tasks. I make money on Amazon Turk because I am a stay at home mother at the moment taking care of a disabled son, therefore I utilize Amazon Turk as a way to make ends meet. I do enjoy the option of working at will on Amazon Turk, but the low pay is definitely a determining factor as to why I am currently searching for a much higher paying work from home job.	Ypsilanti, US	42.2410562	-83.613055	A17MQHLWAOPWPN
1	, Amazon Mturk has started accepting non-US applicants sometime back in mid-2016. Although getting accepted as a worker totally depends on ...	Undefined, US	39.7837304	-100.445882	A12VPXFUENESUY
